,МЕТРО,Расстояние до центра
0,Авиамоторная,6.402986209334045
1,Автозаводская,6.231718956784736
2,Академическая,8.21848549013707
3,Александровский сад,0.6374508297761414
4,Алексеевская,5.837619597869745
5,Алма-атинская,16.661528899061324
6,Алтуфьево,15.665635499119906
7,Андроновка,7.729200768827675
8,Аннино,19.320246076665825
9,Арбатская,0.982057906936375
10,Аэропорт,6.941226825087229
11,Бабушкинская,12.761998335473866
12,Багратионовская,7.478741749983816
13,Балтийская,10.725518225172575
14,Баррикадная,2.1219936218675803
15,Бауманская,4.39028489646661
16,Беговая,4.740171328750884
17,Белокаменная,9.790224118189307
18,Беломорская,14.85776612534374
19,Белорусская,2.8582335984966853
20,Беляево,13.968171827886536
21,Бибирево,14.142198294695957
22,Битцевский парк,17.785475357696477
23,Борисово,16.0384975239966
24,Боровицкая,0.7958198166726356
25,Боровское шоссе,19.41931751884054
26,Ботанический сад,10.00354144475197
27,Братиславская,13.81623732273371
28,Бульвар адмирала ушакова,24.009819026163402
29,Бульвар дмитрия донского,20.900315471548318
30,Бульвар рокоссовского,9.783759632438821
31,Бунинская аллея,25.173342302557437
32,Бутырская,6.429995869101634
33,Варшавская,11.556077026517519
34,Вднх,7.472180481860508
35,Верхние котлы,7.43700671412867
36,Верхние лихоборы,11.35327183244254
37,Владыкино,10.270541161683253
38,Водный стадион,12.10926915626232
39,Войковская,10.162431122385138
40,Волгоградский проспект,5.620295030199977
41,Волжская,11.544541709698622
42,Волоколамская,17.036386511295415
43,Воробьёвы горы,6.397076827474361
44,Выставочная,4.515305201044414
45,Выставочный центр,7.625589321178549
46,Выхино,13.602281181597473
47,Говорово,16.394073525657138
48,Деловой центр,4.894894969240947
49,Динамо,5.206259571808333
50,Дмитровская,6.051056798551664
51,Добрынинская,3.147883057741094
52,Домодедовская,17.45452911195104
53,Достоевская,2.74242903255819
54,Дубровка,5.820108827407141
55,Жулебино,17.122181859655814
56,Зил,6.746886088272575
57,Зорге,7.858532365941809
58,Зябликово,17.945904634572763
59,Измайлово,8.740819662893282
60,Измайловская,10.895107002632576
61,Калужская,12.24248018601719
62,Кантемировская,13.860966332605143
63,Каховская,11.630039033848382
64,Каширская,11.58705351907139
65,Киевская,3.5037613158119525
66,Китай-город,1.0298410471268877
67,Кожуховская,7.176114621117619
68,Коломенская,9.410998121116904
69,Коммунарка,23.713750824305034
70,Комсомольская,3.2923949466977858
71,Коньково,14.890164164761075
72,Коптево,11.017087685531918
73,Косино,15.983908242256984
74,Котельники,17.65674776134428
75,Красногвардейская,17.89324222513823
76,Краснопресненская,2.380675923413214
77,Красносельская,4.11552998172532
78,Красные ворота,2.4487631069485465
79,Крестьянская застава,4.2083891044475426
80,Кропоткинская,1.3852671261030973
81,Крылатское,12.965803622549911
82,Крымская,7.468513880775592
